distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 optim_v-6 optim_v-7 optim_v-8 optim_v-9 optim_v-10 optim_v-11 optim_v-12 optim_v-13 optim_v-14 optim_v-15 
444.2816 57 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628799 0.06981061 0.0008258436 0.000137544 
445.7855 58 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981161 0.0008258436 0.000137544 
445.6337 59 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06980961 0.0008258436 0.000137544 
444.1298 60 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008268436 0.000137544 
446.4955 61 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008248436 0.000137544 
444.5115 62 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000138544 
445.3342 63 0.1068039 0.06254773 0.1006562 0.3379054 0.05229543 0.8092134 0.338002 0.02371124 0.01632699 1.125494e-07 0.8637857 0.3628809 0.06981061 0.0008258436 0.000136544 
464.2188 64 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.1618 65 0.07462874 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.2027 66 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.1274 67 0.07462774 0.05394103 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.1497 68 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.127 69 0.07462774 0.05394003 0.08000086 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.191 70 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.1228 71 0.07462774 0.05394003 0.07999986 0.2690025 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.1902 72 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.2704 73 0.07462774 0.05394003 0.07999986 0.2690015 0.03588462 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.1482 74 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.1701 75 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.301 76 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162164 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.2786 77 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.134 78 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145084 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
463.9868 79 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791626 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.1001 80 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.2362 81 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352339 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.1219 82 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.169 83 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.279 84 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 8e-08 0.7812325 0.2507669 0.04925057 0.0008653124 0.0001553987 
464.232 85 0.07462774 0.05394003 0.07999986 0.2690015 0.03588362 1.162165 0.4145094 0.01791526 0.01352239 1.2e-07 0.7812335 0.2507669 0.04925057 0.0008653124 0.0001553987 
